price,sqft_m2,link,rooms,address
2000,,http://idealista.com/inmueble/30858773/,,"Dúplex en cuesta Blanca, El Soto de la Moraleja, La Moraleja"
1700,,http://idealista.com/inmueble/30761955/,,"Chalet adosado en calle del salvador, 6, Soto del Real"
425,,http://idealista.com/inmueble/30641483/,,"Estudio en calle las panzas, Miramadrid, Paracuellos de Jarama"
1400,,http://idealista.com/inmueble/30344322/,,"Chalet adosado en avenida de Francisco Guerrero, Club de Campo"
850,,http://idealista.com/inmueble/30015484/,,"Piso en sector Escultores, Primera Fase - Nuevo Tres Cantos, Tres Cantos"
2500,,http://idealista.com/inmueble/29982656/,,"Casa o chalet independiente en calle Fresno, Algete"
3350,,http://idealista.com/inmueble/29349849/,,"Casa o chalet independiente en paseo Conde de los Gaitanes, 171, La Moraleja"
800,,http://idealista.com/inmueble/29283990/,,"Chalet adosado en calle la Paz, Daganzo de Arriba"
2700,,http://idealista.com/inmueble/31258169/,,Casa o chalet independiente en Soto del Real
2500,,http://idealista.com/inmueble/31223509/,,"Chalet adosado en calle del doctor casimiro morcillo, Ensanche, Alcobendas"
2600,,http://idealista.com/inmueble/31215029/,,"Piso en Encinar de los Reyes, La Moraleja"
3000,,http://idealista.com/inmueble/31193363/,,"Piso en calle de san enrique de ossó, Encinar de los Reyes, La Moraleja"
850,,http://idealista.com/inmueble/31174660/,,"Chalet adosado en calle ajalvir, Casco Urbano, Paracuellos de Jarama"
625,,http://idealista.com/inmueble/31174127/,,"Piso en paseo del rádar, Casco Urbano, Paracuellos de Jarama"
1100,,http://idealista.com/inmueble/31166178/,,"Chalet adosado en calle cantoblanco, Daganzo de Arriba"
1250,,http://idealista.com/inmueble/1368716/,,"Chalet adosado en camino de Colmenar, 26, San Agustin de Guadalix"
1250,,http://idealista.com/inmueble/26729047/,,"Chalet adosado en calle Navarra, 5, San Agustin de Guadalix"
950,,http://idealista.com/inmueble/31122160/,,"Piso en calle santiago apóstol, Miramadrid, Paracuellos de Jarama"
650,,http://idealista.com/inmueble/31118631/,,"Piso en avenida de madrid, San Agustin de Guadalix"
2100,,http://idealista.com/inmueble/31111364/,,"Ático en damaso alonso, Encinar de los Reyes, La Moraleja"
3300,,http://idealista.com/inmueble/31111270/,,"Chalet pareado en camino de la huerta, Encinar de los Reyes, La Moraleja"
1400,,http://idealista.com/inmueble/31108636/,,"Chalet adosado en calle de las cabezuelas, Berrocales de Jarama, Paracuellos de Jarama"
580,,http://idealista.com/inmueble/31107486/,,"Piso en calle real, Ajalvir"
600,,http://idealista.com/inmueble/31107328/,,"Piso en calle real, Ajalvir"
6000,,http://idealista.com/inmueble/1205272/,,"Chalet adosado en camino Viejo, 77, La Moraleja"
1050,,http://idealista.com/inmueble/31096895/,,"Chalet adosado en calle tierra, Miramadrid, Paracuellos de Jarama"
450,,http://idealista.com/inmueble/31083503/,,"Piso en carrapazuelos, Ajalvir"
900,,http://idealista.com/inmueble/31082282/,,"Piso en calle del pintor rosales, Ensanche, Alcobendas"
650,,http://idealista.com/inmueble/28952751/,,"Casa o chalet independiente en calle del Casar, 10, Valdepiélagos"
1100,,http://idealista.com/inmueble/28581472/,,"Casa o chalet independiente en paseo de las Arroyas, 1, Berrocales de Jarama, Paracuellos de Jarama"
750,,http://idealista.com/inmueble/1824826/,,"Dúplex en avenida Salobral, 18, Talamanca de Jarama"
3300,,http://idealista.com/inmueble/31254579/,,"Chalet pareado en camino de la huerta, Encinar de los Reyes, La Moraleja"
250,,http://idealista.com/inmueble/31249614/,,Piso en El Molar
6000,,http://idealista.com/inmueble/31232712/,,"Chalet pareado en camino viejo, La Moraleja"
775,,http://idealista.com/inmueble/31014319/,,"Chalet adosado en calle de la soledad, El Olivar - La Magdalena, Colmenar Viejo"
600,,http://idealista.com/inmueble/30943142/,,"Dúplex en calle constitucion, 6, Daganzo de Arriba"
3300,,http://idealista.com/inmueble/30724700/,,"Chalet pareado en Encinar de los Reyes, La Moraleja"
750,,http://idealista.com/inmueble/25834494/,,"Chalet pareado en calle Fernando el Catolico, 16, Serracines"
650,,http://idealista.com/inmueble/30565782/,,"Piso en carretera Alcala Torrelaguna, 20, Cobeña"
695,,http://idealista.com/inmueble/30507784/,,"Piso en calle de la Aurora, 29, Zona Estación- Centro, Tres Cantos"
1000,,http://idealista.com/inmueble/29969290/,,"Piso en calle sector Islas, Segunda Fase, Tres Cantos"
